GAT(
  (conv1): GATConv((-1, -1), 2, heads=1)
)
Epoch: 001, Loss: 0.9324, Train: 0.6983, Val: 0.6712, Test: 0.6844
Epoch: 002, Loss: 0.6538, Train: 0.7120, Val: 0.6838, Test: 0.7017
Epoch: 003, Loss: 0.6195, Train: 0.7143, Val: 0.7112, Test: 0.7257
Epoch: 004, Loss: 0.5548, Train: 0.7451, Val: 0.7306, Test: 0.7377
Epoch: 005, Loss: 0.5162, Train: 0.7657, Val: 0.7123, Test: 0.7364
Epoch: 006, Loss: 0.4875, Train: 0.7726, Val: 0.7215, Test: 0.7443
Epoch: 007, Loss: 0.4727, Train: 0.7863, Val: 0.7295, Test: 0.7457
Epoch: 008, Loss: 0.4556, Train: 0.7977, Val: 0.7397, Test: 0.7603
Epoch: 009, Loss: 0.4414, Train: 0.8091, Val: 0.7454, Test: 0.7617
Epoch: 010, Loss: 0.4294, Train: 0.8034, Val: 0.7477, Test: 0.7656
Epoch: 011, Loss: 0.4180, Train: 0.8114, Val: 0.7546, Test: 0.7710
Epoch: 012, Loss: 0.4103, Train: 0.8160, Val: 0.7626, Test: 0.7710
Epoch: 013, Loss: 0.4008, Train: 0.8206, Val: 0.7591, Test: 0.7750
Epoch: 014, Loss: 0.3929, Train: 0.8320, Val: 0.7626, Test: 0.7816
Epoch: 015, Loss: 0.3841, Train: 0.8377, Val: 0.7603, Test: 0.7803
Epoch: 016, Loss: 0.3782, Train: 0.8423, Val: 0.7637, Test: 0.7816
Epoch: 017, Loss: 0.3717, Train: 0.8480, Val: 0.7637, Test: 0.7790
Epoch: 018, Loss: 0.3653, Train: 0.8514, Val: 0.7694, Test: 0.7830
Epoch: 019, Loss: 0.3589, Train: 0.8514, Val: 0.7694, Test: 0.7856
Epoch: 020, Loss: 0.3559, Train: 0.8537, Val: 0.7717, Test: 0.7856
Epoch: 021, Loss: 0.3517, Train: 0.8560, Val: 0.7740, Test: 0.7883
Epoch: 022, Loss: 0.3465, Train: 0.8571, Val: 0.7728, Test: 0.7909
Epoch: 023, Loss: 0.3405, Train: 0.8583, Val: 0.7717, Test: 0.7896
Epoch: 024, Loss: 0.3360, Train: 0.8629, Val: 0.7705, Test: 0.7936
Epoch: 025, Loss: 0.3328, Train: 0.8640, Val: 0.7705, Test: 0.7923
Epoch: 026, Loss: 0.3276, Train: 0.8629, Val: 0.7694, Test: 0.7909
Epoch: 027, Loss: 0.3236, Train: 0.8640, Val: 0.7683, Test: 0.7896
Epoch: 028, Loss: 0.3194, Train: 0.8629, Val: 0.7705, Test: 0.7923
Epoch: 029, Loss: 0.3147, Train: 0.8686, Val: 0.7728, Test: 0.7976
Epoch: 030, Loss: 0.3113, Train: 0.8754, Val: 0.7751, Test: 0.7989
Epoch: 031, Loss: 0.3062, Train: 0.8800, Val: 0.7774, Test: 0.8003
Epoch: 032, Loss: 0.3009, Train: 0.8823, Val: 0.7785, Test: 0.8016
Epoch: 033, Loss: 0.2982, Train: 0.8880, Val: 0.7797, Test: 0.8029
Epoch: 034, Loss: 0.2914, Train: 0.8926, Val: 0.7831, Test: 0.8083
Epoch: 035, Loss: 0.2882, Train: 0.8926, Val: 0.7854, Test: 0.8069
Epoch: 036, Loss: 0.2827, Train: 0.8891, Val: 0.7831, Test: 0.8029
Epoch: 037, Loss: 0.2779, Train: 0.8949, Val: 0.7831, Test: 0.8109
Epoch: 038, Loss: 0.2740, Train: 0.8971, Val: 0.7808, Test: 0.8123
Epoch: 039, Loss: 0.2706, Train: 0.9029, Val: 0.7808, Test: 0.8123
Epoch: 040, Loss: 0.2689, Train: 0.9051, Val: 0.7854, Test: 0.8136
Epoch: 041, Loss: 0.2635, Train: 0.9051, Val: 0.7865, Test: 0.8202
Epoch: 042, Loss: 0.2606, Train: 0.9063, Val: 0.7865, Test: 0.8202
Epoch: 043, Loss: 0.2542, Train: 0.9120, Val: 0.7865, Test: 0.8216
Epoch: 044, Loss: 0.2499, Train: 0.9097, Val: 0.7842, Test: 0.8229
Epoch: 045, Loss: 0.2458, Train: 0.9086, Val: 0.7842, Test: 0.8229
Epoch: 046, Loss: 0.2435, Train: 0.9097, Val: 0.7877, Test: 0.8269
Epoch: 047, Loss: 0.2414, Train: 0.9074, Val: 0.7865, Test: 0.8256
